cycle,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore
,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt
509.0,0.0172327666624896,0.14338637021124173,-0.17197131579336555,-0.18920408245585515,0.0,0.0172327666624896,0.02498437753431204,0.18526452846401603,-0.2200878244642308,-0.24507220199854285,0.0,0.02498437753431204
519.0,0.018599293530254246,0.18643318080916507,-0.21372051037944934,-0.23231980390970358,0.0,0.018599293530254246,0.025085107140470186,0.19001804439670503,-0.2258813270623335,-0.2509664342028037,0.0,0.025085107140470186
529.0,0.0191058479424753,0.19238057608306436,-0.22056605811913804,-0.23967190606161334,0.0,0.0191058479424753,0.025579384618092837,0.2010047565341914,-0.23781402072350405,-0.2633934053415969,0.0,0.025579384618092837
539.0,0.020068664792338042,0.20854105298961667,-0.23661860567894927,-0.2566872704712873,0.0,0.020068664792338042,0.025928082171500222,0.2052571815252406,-0.24288699360708804,-0.26881507577858826,0.0,0.025928082171500222
549.0,0.019968428506385083,0.20307628464017088,-0.23086580599126216,-0.25083423449764725,0.0,0.019968428506385083,0.026859005852727103,0.19531117329036748,-0.23280686933392286,-0.25966587518664996,0.0,0.026859005852727103
559.0,0.01807148368122702,0.3082346244181865,-0.3410761218179272,-0.3591476054991542,0.0,0.01807148368122702,0.025848034175916024,0.21066817830289908,-0.24909805714425248,-0.2749460913201685,0.0,0.025848034175916024
569.0,0.019738692917412703,0.20677900143215167,-0.23568066050749925,-0.25541935342491195,0.0,0.019738692917412703,0.02612491314476667,0.20745728965270196,-0.24571470623326058,-0.27183961937802725,0.0,0.02612491314476667
579.0,0.01860213188865023,0.1375813404940916,-0.16500181500610875,-0.18360394689475898,0.0,0.01860213188865023,0.027578608384652148,0.20698662370211124,-0.2457700457064077,-0.27334865409105985,0.0,0.027578608384652148
589.0,0.01978954670485744,0.2034226093805939,-0.23185415999112302,-0.25164370669598046,0.0,0.01978954670485744,0.026961795698770774,0.19736678517722733,-0.23585883501197485,-0.26282063071074563,0.0,0.026961795698770774
599.0,0.018976250338345935,0.22208213533834514,-0.25124001529831075,-0.2702162656366567,0.0,0.018976250338345935,0.026475276416636884,0.1931608818474744,-0.23044129912561612,-0.256916575542253,0.0,0.026475276416636884
609.0,0.019416896293710573,0.23384671929824488,-0.2634756591622269,-0.2828925554559375,0.0,0.019416896293710573,0.026725231530612292,0.1976773197278899,-0.2349452781748287,-0.261670509705441,0.0,0.026725231530612292
619.0,0.020223367108246848,0.17960558252774753,-0.20764905908049797,-0.22787242618874481,0.0,0.020223367108246848,0.027513201805107967,0.19787531614751028,-0.2366601381675963,-0.26417333997270426,0.0,0.027513201805107967
629.0,0.019775007706170245,0.22207986931614662,-0.2513924916236833,-0.27116749932985357,0.0,0.019775007706170245,0.027199834431316405,0.20854774078052177,-0.24827062881596762,-0.275470463247284,0.0,0.027199834431316405
639.0,0.01956436472550424,0.19667626888650128,-0.2253132234664419,-0.24487758819194613,0.0,0.01956436472550424,0.026717275870032253,0.1990840554958813,-0.2383964319518963,-0.26511370782192856,0.0,0.026717275870032253
649.0,0.022407066296694145,0.1800960379520218,-0.20602683299332647,-0.22843389929002061,0.0,0.022407066296694145,0.027558015690416493,0.21373619906909985,-0.2537955007947712,-0.2813535164851877,0.0,0.027558015690416493
659.0,0.01759908514202177,0.17433842642320083,-0.20402160729317936,-0.22162069243520113,0.0,0.01759908514202177,0.02779964005967306,0.20298459756534074,-0.2416521762481012,-0.26945181630777426,0.0,0.02779964005967306
669.0,0.017393871273421735,0.18483287218045058,-0.21536675059847837,-0.2327606218719001,0.0,0.017393871273421735,0.02851796853801175,0.21570109774435978,-0.2558315554284629,-0.28434952396647467,0.0,0.02851796853801175
679.0,0.019595982125551997,0.09560879126387312,-0.12148390025094219,-0.1410798823764942,0.0,0.019595982125551997,0.027816142135696442,0.21424062298603513,-0.25581851574006303,-0.2836346578757595,0.0,0.027816142135696442
689.0,0.019885585807972395,0.20368020981023904,-0.23286397674665,-0.2527495625546224,0.0,0.019885585807972395,0.028451138297529488,0.22198830540637193,-0.2637942865836545,-0.292245424881184,0.0,0.028451138297529488
699.0,0.020540061824203426,0.2048352262799849,-0.23374226660454694,-0.25428232842875037,0.0,0.020540061824203426,0.02770519209869915,0.2069701682778362,-0.2463459591929812,-0.27405115129168034,0.0,0.02770519209869915
709.0,0.020273467477025908,0.22851964160400925,-0.258095839187473,-0.2783693066644989,0.0,0.020273467477025908,0.026643859865139063,0.20996359684926477,-0.24959805697053228,-0.27624191683567134,0.0,0.026643859865139063
719.0,0.020138004423558953,0.20825291228070109,-0.23743153171115716,-0.2575695361347161,0.0,0.020138004423558953,0.028350132880415324,0.21791939026136628,-0.2588438504322041,-0.2871939833126194,0.0,0.028350132880415324
729.0,0.02134290426363533,0.2311067712137481,-0.2604657039830113,-0.2818086082466466,0.0,0.02134290426363533,0.028998856864781042,0.21993183208019915,-0.2616786564320251,-0.29067751329680613,0.0,0.028998856864781042
739.0,0.018704355804988693,0.10921738775510122,-0.1373487317508563,-0.156053087555845,0.0,0.018704355804988693,0.029055216335481526,0.21245247296813324,-0.25410014493274136,-0.2831553612682229,0.0,0.029055216335481526
749.0,0.019262180519751787,0.12336213533834484,-0.15144105862729001,-0.1707032391470418,0.0,0.019262180519751787,0.029016553653777366,0.2238475771571771,-0.26620162544606,-0.2952181790998374,0.0,0.029016553653777366
759.0,0.01853442176930431,0.25594756713211453,-0.28903070472288783,-0.30756512649219214,0.0,0.01853442176930431,0.029059252697219262,0.20999743036161703,-0.2515179551821863,-0.28057720787940554,0.0,0.029059252697219262
769.0,0.019973722144647377,0.23556636126029268,-0.2664819860706263,-0.28645570821527366,0.0,0.019973722144647377,0.02981040279926006,0.21521472287862367,-0.25732852982776433,-0.2871389326270244,0.0,0.02981040279926006
779.0,0.02109647454230823,0.3139677103472961,-0.34625083440099824,-0.36734730894330647,0.0,0.02109647454230823,0.029235413578589386,0.22569820694593482,-0.26857643578782525,-0.29781184936641464,0.0,0.029235413578589386
