cycle,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,is_sampled
43,0.027250472303974232,0.1348722549230222,-0.13236183913698576,-0.15961231144096,,,False
45,0.027856646556271625,0.10833777443608986,-0.10447446797701362,-0.13233111453328525,,,False
47,0.02795074928571431,0.10875621088435337,-0.10488916912823093,-0.13283991841394524,,,False
49,0.028060718664518453,0.10753873791621867,-0.10356791754752909,-0.13162863621204754,,,False
51,0.02806152217269367,0.10566798245613998,-0.10162688546231613,-0.1296884076350098,,,False
53,0.028173622976488816,0.10831977336197601,-0.10435864925300722,-0.13253227222949604,,,False
55,0.02830696677407804,0.10781365520945178,-0.10375536285107376,-0.1320623296251518,,,False
57,0.02838879422902496,0.10847644897959141,-0.10440201515714242,-0.13279080938616739,0.0,0.02838879422902496,True
59,0.0283902920258981,0.1100252094522015,-0.10601959716595014,-0.13440988919184824,,,False
61,0.028486164093567273,0.10773660114572106,-0.1036002792655385,-0.13208644335910577,,,False
63,0.028552500445757245,0.10757499462943035,-0.10340134027282458,-0.13195384071858182,,,False
65,0.028458595821100385,0.1031931697099889,-0.09897596839199752,-0.1274345642130979,,,False
67,0.02863406244897959,0.10817936054421727,-0.10400438235850301,-0.1326384448074826,,,False
69,0.02865475603055259,0.10753015145005329,-0.10332192385225522,-0.1319766798828078,,,False
71,0.028726217361260298,0.10849574042248443,-0.10428071589504084,-0.13300693325630114,,,False
73,0.02872238998269483,0.1108200837808803,-0.10674022599903288,-0.1354626159817277,,,False
75,0.028778063118510583,0.1072273426423198,-0.10295905697336169,-0.13173712009187227,,,False
77,0.02878120042009788,0.10655010454708158,-0.10227020124342961,-0.1310514016635275,0.0,0.02878120042009788,True
79,0.028777803159684923,0.10799123666308598,-0.10375548600744691,-0.13253328916713183,,,False
81,0.028825650351473914,0.10721617006802685,-0.10293306419149625,-0.13175871454297017,,,False
83,0.028910354852011017,0.10979688865019659,-0.10557069681507306,-0.13448105166708407,,,False
85,0.02887678386800338,0.10835560615825243,-0.1041155640779087,-0.13299234794591208,,,False
87,0.028422913571428565,0.1244460544217685,-0.12114212637074814,-0.1495650399421767,,,False
89,0.028986622441222104,0.10642849803079078,-0.10211115831194012,-0.13109778075316222,,,False
91,0.02844636223714045,0.14099815109201444,-0.13814772452316376,-0.1665940867603042,,,False
93,0.028900580665353864,0.10743987611886821,-0.10315671877955565,-0.13205729944490951,,,False
95,0.028924859582885792,0.10823388757608282,-0.10397409534106672,-0.1328989549239525,,,False
97,0.028957413968253937,0.10650159863945541,-0.10216158583843507,-0.131118999806689,0.0,0.028957413968253937,True
99,0.028922815861678025,0.10791640136054392,-0.10365080632278884,-0.13257362218446686,,,False
101,0.028939153155507824,0.10744544360902211,-0.10316083766874284,-0.13209999082425067,,,False
103,0.028631173191311643,0.12697210418904317,-0.12356149166331812,-0.15219266485462976,,,False
105,0.028853524446234652,0.10830118438954486,-0.1041008416969563,-0.13295436614319095,,,False
107,0.028818145156343233,0.10738633011099141,-0.10317158150519123,-0.13198972666153447,,,False
109,0.028833446936985307,0.10746272717508032,-0.1032437666380771,-0.1320772135750624,,,False
111,0.02866371510860488,0.12117471464375142,-0.11754531341786523,-0.1462090285264701,,,False
113,0.028766093317221658,0.10696727926960221,-0.10277197246310385,-0.1315380657803255,,,False
115,0.02871655153896646,0.10657413712853525,-0.1024051960192442,-0.13112174755821066,,,False
117,0.028792305168277826,0.10810395846759717,-0.10393569100508379,-0.13272799617336162,0.0,0.028792305168277826,True
119,0.02857354439849627,0.11241951450053672,-0.10856858456133159,-0.13714212895982786,,,False
121,0.028652320452918018,0.10728576620121691,-0.10317566839160361,-0.13182798884452163,,,False
123,0.028620569920634942,0.10767275510204036,-0.10360948340306075,-0.1322300533236957,,,False
125,0.028594417425110402,0.10589952559971319,-0.10181550548558863,-0.13040992291069903,,,False
127,0.02852303816326529,0.10771301360544182,-0.10369633087993169,-0.13221936904319698,,,False
129,0.02854427298603654,0.10793973863229465,-0.10394499721285322,-0.13248927019888976,,,False
131,0.028453414092373813,0.10752274579305361,-0.10355468980793006,-0.13200810390030387,,,False
133,0.028380832047380344,0.10751784389545262,-0.10359644615936242,-0.13197727820674277,,,False
135,0.028307263873970645,0.10713259040458248,-0.10324540985812708,-0.13155267373209772,,,False
137,0.028239410631937023,0.10827635481561007,-0.1044592817246863,-0.13269869235662332,0.0,0.028239410631937023,True
139,0.028222821252536112,0.10719733548156073,-0.10337334591195818,-0.1315961671644943,,,False
141,0.028172067040219573,0.10754489545291765,-0.10379553584330439,-0.13196760288352397,,,False
143,0.028100711915503063,0.10853890225563874,-0.10484523471439275,-0.1329459466298958,,,False
145,0.028025942351115884,0.10549462298603607,-0.10177967038700281,-0.1298056127381187,,,False
147,0.027946721149898573,0.1067136322950229,-0.10306135308315395,-0.13100807423305252,,,False
149,0.027843556766320582,0.1089896566416036,-0.10547965358376257,-0.13332321035008315,,,False
151,0.02782695453872777,0.10941242320085892,-0.10597453054425313,-0.1338014850829809,,,False
153,0.027720566506743066,0.10728701539563146,-0.10382091325395584,-0.1315414797606989,,,False
155,0.027715863136412444,0.10858605048335086,-0.1051887982323842,-0.13290466136879664,,,False
157,0.027646477835660627,0.10834637235946987,-0.10503482109706383,-0.13268129893272446,0.0,0.027646477835660627,True
159,0.02743307594939734,0.10838371535982769,-0.10514816717298556,-0.1325812431223829,,,False
161,0.027451155952977674,0.10749319298245567,-0.10429659245635475,-0.13174774840933243,,,False
163,0.027295861077097527,0.10697090476190428,-0.10385540788333283,-0.13115126896043036,,,False
165,0.02722572741794968,0.10747233906194023,-0.10443000247327211,-0.1316557298912218,,,False
167,0.02713094449039266,0.1075494854994626,-0.10456320586621881,-0.13169415035661147,,,False
169,0.027073285457095142,0.10830204905119901,-0.10537444187928707,-0.13244772733638221,,,False
171,0.02700122424513665,0.10890118331543105,-0.106078741460705,-0.13307996570584166,,,False
173,0.02679233779269602,0.10608191299677729,-0.10330681727384497,-0.130099155066541,,,False
175,0.026717864968373334,0.10669461546723925,-0.10397144975365172,-0.13068931472202505,,,False
177,0.026611718873373907,0.10769426136770453,-0.10507103465857459,-0.1316827535319485,0.0,0.026611718873373907,True
179,0.026514985794247548,0.10821943788041495,-0.10571648349104867,-0.13223146928529622,,,False
181,0.026401567210287635,0.10948190225563872,-0.10711934205418869,-0.13352090926447632,,,False
183,0.02635881258980785,0.1078722173290365,-0.10553917260288184,-0.1318979851926897,,,False
185,0.02630367827246688,0.10790069674185421,-0.10566170658170387,-0.13196538485417075,,,False
187,0.026252649200381922,0.10756215180809123,-0.10541033899767235,-0.13166298819805428,,,False
189,0.026067764548275474,0.1077089530970279,-0.10567819947178622,-0.1317459640200617,,,False
191,0.026012254319727895,0.10641637414965945,-0.10440665418129214,-0.13041890850102003,,,False
193,0.025977277298006946,0.10652729788757566,-0.10464218022479368,-0.13061945752280063,,,False
195,0.025817876149898583,0.10863745542427458,-0.10694079515730359,-0.13275867130720218,,,False
197,0.02577394378684808,0.10945289795918325,-0.10787835123265266,-0.13365229501950074,0.0,0.02577394378684808,True
199,0.025618807863706905,0.10868832008592871,-0.10719903834983846,-0.13281784621354537,,,False
201,0.029422975910609855,0.05246415789473672,-0.04527881826364116,-0.07470179417425102,,,False
203,0.025367274307793286,0.1038369566774074,-0.10238677501575327,-0.12775404932354656,,,False
205,0.02525240355113975,0.1110244317937697,-0.11003867244650872,-0.13529107599764847,,,False
207,0.025226674738035554,0.11034202900107372,-0.1095287304012349,-0.13475540513927045,,,False
209,0.025204727459720744,0.10636252810597875,-0.10557959883922258,-0.13078432629894332,,,False
211,0.025211438255161728,0.10692780773361932,-0.10636707018856026,-0.131578508443722,,,False
213,0.025199368787444776,0.10672452631578896,-0.10629389711417783,-0.1314932659016226,,,False
215,0.025309661987110654,0.10743586967418492,-0.10718751317429231,-0.13249717516140297,,,False
217,0.025420331199427132,0.11467218725384842,-0.11478973415110946,-0.1402100653505366,0.0,0.025420331199427132,True
219,0.025325264899152627,0.10663765127103418,-0.10686567541066905,-0.13219094030982168,,,False
221,0.025636025397422157,0.1085038528464012,-0.10900227753560632,-0.13463830293302848,,,False
223,0.025709143093447934,0.1099913734335834,-0.11086041092004956,-0.1365695540134975,,,False
225,0.025800794540517952,0.1109209953455061,-0.11215699238202603,-0.13795778692254398,,,False
