global_cycle,session,raw_cycle,filename,n_points,n_points_ox,n_points_red,E_min,E_max,I_min_mA,I_max_mA,I_mean_mA,Q_ox_mC,Q_red_mC,Q_total_mC
1635,0,817,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,320,320,0,0.99998689,1.5910363,-0.01190324876781391,0.3187141072946615,0.06241828534718341,3.5879307977911967,,3.5879307977911967
1636,0,818,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090965,1.6000391,-0.1805679549177261,0.3071637451648712,-0.015871232789205398,,-1.0564481956688496,-1.0564481956688496
1637,0,818,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,0.99999905,1.5905643,-0.01208717600725917,0.3171562166947641,0.061950189067637,3.571580481694845,,3.571580481694845
1638,0,819,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090936,1.6000153,-0.1808647750680512,0.3034632491028827,-0.016008062771498428,,-1.0631951977904965,-1.0631951977904965
1639,0,819,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,323,323,0,0.99999619,1.5912563,-0.01136494158645687,0.3193130701862517,0.06225432236194343,3.5846025509189587,,3.5846025509189587
1640,0,820,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090954,1.6000074,-0.1806511157740887,0.3025282899970592,-0.01613821100992024,,-1.0706619290551471,-1.0706619290551471
1641,0,820,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,0.99999809,1.5910497,-0.01101014578523094,0.3185771451623127,0.061786841637227224,3.5784374902352187,,3.5784374902352187
1642,0,821,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090984,1.6000013,-0.1806341945239556,0.3022248829188552,-0.016216698413527058,,-1.0752069164247655,-1.0752069164247655
1643,0,821,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,1.000001,1.5905492,-0.01180340671587898,0.317501284420592,0.06160969752017474,3.5625767056286137,,3.5625767056286137
1644,0,822,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0090994,1.5999506,-0.1804374252320153,0.2981404321534291,-0.017340254630362695,,-1.0842297780101098,-1.0842297780101098
1645,0,822,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,318,318,0,1.0000019,1.5897982,-0.01147593460653139,0.3170952762978345,0.06091827749104513,3.5422377605278204,,3.5422377605278204
1646,0,823,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0090981,1.5999491,-0.1804916693535803,0.2975447267293925,-0.017274833495357467,,-1.0802866567744518,-1.0802866567744518
1647,0,823,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,318,318,0,1.0000005,1.5911701,-0.01298222783952951,0.3164751570028921,0.06152526140354679,3.580887364055912,,3.580887364055912
1648,0,824,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0090986,1.5999486,-0.1804480489166913,0.2973746687173842,-0.01735350051967896,,-1.0849212217397106,-1.0849212217397106
