cycle,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,is_sampled
411,0.017650252507459163,0.12821437486573495,-0.15551619113911624,-0.1731664436465754,,,False
413,0.016639461133190203,0.1829649906910131,-0.21303344848878386,-0.22967290962197406,,,False
415,0.017955620040577644,0.07148622484783357,-0.09686477353010928,-0.11482039357068692,,,False
417,0.017170692443012336,0.20652149874686576,-0.23674665698514574,-0.2539173494281581,0.0,0.017170692443012336,True
419,0.018707888323785726,0.1902564564983881,-0.21840761035650408,-0.2371154986802898,,,False
421,0.017131556929824626,0.16860453383458598,-0.1977186269824549,-0.21485018391227953,,,False
423,0.01848057039443854,0.18546801718582093,-0.2136376842222376,-0.23211825461667615,,,False
425,0.017786288322592214,0.15603207053347645,-0.18400257148623622,-0.20178885980882844,,,False
427,0.017354766610574113,0.22543599570354356,-0.2559492118375414,-0.2733039784481155,,,False
429,0.01681617015992365,0.16402267848191873,-0.19319680129308447,-0.21001297145300812,,,False
431,0.018091216565222612,0.1714670501253127,-0.19965130228305206,-0.21774251884827467,,,False
433,0.018871152166726413,0.2205834471894011,-0.24934229537892055,-0.26821344754564697,,,False
435,0.01783060567907868,0.1870876616541346,-0.21600903558528173,-0.2338396412643604,,,False
437,0.017103261649361517,0.16875666881489432,-0.19782432883698386,-0.21492759048634538,0.0,0.017103261649361517,True
439,0.017673456855233388,0.19988026136770393,-0.22921031298038558,-0.24688376983561897,,,False
441,0.017517989061343886,0.18505263587540224,-0.21421383990739362,-0.2317318289687375,,,False
443,0.017460751120062123,0.16319164303616135,-0.19172225102399298,-0.2091830021440551,,,False
445,0.01788504790428458,0.184312898675259,-0.21299755110454505,-0.23088259900882963,,,False
447,0.018067957713331,0.1744615932688859,-0.20267199309651923,-0.22073995080985023,,,False
449,0.017774869607948496,0.181563911206587,-0.21027423390539968,-0.22804910351334817,,,False
451,0.017900728764769086,0.18251612495524475,-0.21106358359219496,-0.22896431235696404,,,False
453,0.018023713873970698,0.1848438625134259,-0.21341488634764288,-0.23143860022161358,,,False
455,0.017236146838524924,0.1621597694235582,-0.19081823216944288,-0.2080543790079678,,,False
457,0.01830448954171146,0.1949268575008942,-0.2235005705930882,-0.24180506013479966,0.0,0.01830448954171146,True
459,0.017904730267335023,0.1815510071607582,-0.21003854972574132,-0.22794327999307634,,,False
461,0.017207948060031064,0.16738447798066547,-0.19614842170005753,-0.2133563697600886,,,False
463,0.017792852613080334,0.17771194772645835,-0.20623547688457505,-0.2240283294976554,,,False
465,0.017947116496598692,0.1826010816326524,-0.2111509413783258,-0.2290980578749245,,,False
467,0.0179538016046068,0.1889464060150369,-0.21766402642146437,-0.23561782802607117,,,False
469,0.01788145707483002,0.1841107551020402,-0.2127310468967748,-0.23061250397160482,,,False
471,0.01795900337570122,0.18432968134622213,-0.21290106908657297,-0.2308600724622742,,,False
473,0.018063131965628365,0.17653235087719243,-0.204757834412021,-0.22282096637764937,,,False
475,0.017910804806062858,0.18381553920515503,-0.21239502595336335,-0.2303058307594262,,,False
477,0.01783099792218651,0.18599111672037172,-0.21465598253232793,-0.23248698045451444,0.0,0.01783099792218651,True
479,0.018414879409834134,0.15210523558897188,-0.1792229285890285,-0.19763780799886263,,,False
481,0.01739803617138086,0.19828268850698116,-0.22782642481860094,-0.2452244609899818,,,False
483,0.01816452525361023,0.1761119155030427,-0.20420511834002092,-0.22236964359363115,,,False
485,0.017943562984843092,0.17743552273540938,-0.20582442038832383,-0.22376798337316692,,,False
487,0.01796527364303624,0.1920921646974574,-0.22073615002525393,-0.23870142366829017,,,False
489,0.01805139772287867,0.1873352456140344,-0.2158286934080143,-0.23388009113089298,,,False
491,0.017928971250746023,0.1923740082348725,-0.22112693337713163,-0.23905590462787765,,,False
493,0.017401052769423636,0.1758793458646611,-0.20473139401371154,-0.22213244678313518,,,False
495,0.01888189778732552,0.21479783601861757,-0.24329431895659676,-0.2621762167439223,,,False
497,0.018022155393245115,0.1801458761188679,-0.20848320116135688,-0.226505356554602,0.0,0.018022155393245115,True
499,0.018069688486096247,0.17330103616183265,-0.20130723150237106,-0.2193769199884673,,,False
501,0.01684973208139401,0.1467320547798059,-0.17512127158182306,-0.19197100366321707,,,False
503,0.018556268988542846,0.22398852058718177,-0.2529493591150543,-0.27150562810359713,,,False
505,0.017808875436209654,0.18885551235230852,-0.217568851254534,-0.23537772669074367,,,False
507,0.01794263882205513,0.18298582133906138,-0.2114095242221456,-0.22935216304420072,,,False
509,0.018029267857142928,0.18254700680272054,-0.210863486339183,-0.22889275419632593,,,False
511,0.017154149791144546,0.15029900716075859,-0.17849085406843562,-0.19564500385958017,,,False
513,0.018376421788399655,0.19236029359111992,-0.22066500778045034,-0.23904142956885,,,False
