cycle,j_forward_mAcm2,j_backward_mAcm2,delta_j_mAcm2
256,-0.016892319897959186,-0.04154524846938775,0.024652928571428565
257,-0.01681519387755102,-0.04160716224489795,0.02479196836734693
258,-0.016738264285714285,-0.041602270918367344,0.02486400663265306
259,-0.016804011224489795,-0.0414911693877551,0.024687158163265305
260,-0.017969394897959182,-0.041505594897959186,0.023536200000000004
261,-0.01679395867346939,-0.041532340306122455,0.024738381632653066
262,-0.01673369030612245,-0.0415353443877551,0.02480165408163265
263,-0.016737566326530614,-0.04144852091836735,0.024710954591836736
264,-0.01674445408163265,-0.041492073469387755,0.024747619387755104
265,-0.01675244591836735,-0.04165102653061224,0.024898580612244894
266,-0.016724183673469388,-0.0414991668367347,0.02477498316326531
267,-0.01656428775510204,-0.0415496831632653,0.02498539540816326
268,-0.01690296224489796,-0.04155260765306123,0.02464964540816327
269,-0.015226163775510204,-0.04152957244897959,0.026303408673469385
270,-0.01671725255102041,-0.04151666428571428,0.024799411734693872
271,-0.016848429081632654,-0.04152659897959183,0.024678169897959176
272,-0.01677667551020408,-0.041442881122448975,0.024666205612244894
273,-0.016690941836734693,-0.041506777040816324,0.02481583520408163
274,-0.016702307653061226,-0.04145736632653061,0.024755058673469384
275,-0.016711282653061224,-0.0415596943877551,0.024848411734693876
276,-0.016647160204081635,-0.041432828061224496,0.02478566785714286
277,-0.016300280102040817,-0.04136150714285714,0.025061227040816324
278,-0.01669130663265306,-0.041503982142857145,0.024812675510204083
279,-0.014649657653061225,-0.04146731887755102,0.026817661224489794
280,-0.01670228724489796,-0.04148350255102041,0.02478121530612245
281,-0.01662803367346939,-0.04150583673469388,0.02487780306122449
282,-0.016678398469387755,-0.04150781632653062,0.024829417857142863
283,-0.016482447959183674,-0.04138371581632653,0.024901267857142854
284,-0.016706222959183673,-0.041419426020408164,0.02471320306122449
285,-0.01671451530612245,-0.04143206887755102,0.02471755357142857
286,-0.016733213265306125,-0.041454233163265304,0.02472101989795918
287,-0.016754944897959183,-0.041508896428571425,0.02475395153061224
288,-0.01665286887755102,-0.041510898469387755,0.024858029591836736
289,-0.01143034030612245,-0.04131885969387755,0.0298885193877551
290,-0.01563994948979592,-0.04143393673469387,0.025793987244897953
291,-0.013430947959183672,-0.041488333163265306,0.028057385204081634
292,-0.0167390693877551,-0.041462454081632655,0.024723384693877554
293,-0.016603744387755102,-0.04146277806122449,0.024859033673469387
