global_cycle,session,raw_cycle,filename,n_points,n_points_ox,n_points_red,E_min,E_max,I_min_mA,I_max_mA,I_mean_mA,Q_ox_mC,Q_red_mC,Q_total_mC
1606,0,803,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,302,0,302,1.008899,1.6000352,-0.2402322647755164,0.3591968417167664,-0.009797949555976264,,-0.723960330978097,-0.723960330978097
1607,0,803,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,352,352,0,0.99999952,1.591006,-0.01600050051359736,0.6491518754648107,0.05771187323001483,3.188505613214507,,3.188505613214507
1608,0,804,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,310,0,310,1.0092458,1.5999316,-0.2412071086340082,0.3564920767265205,-0.011300361181299436,,-0.7370921133811996,-0.7370921133811996
1609,0,804,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,345,345,0,1.0000095,1.5901498,-0.01185047253966331,0.6493970671356788,0.06051620076341495,3.1588860213204173,,3.1588860213204173
1610,0,805,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,290,0,290,1.0094309,1.5999278,-0.2410571140208165,0.3435647661487256,-0.011608564912513034,,-0.7576267811947863,-0.7576267811947863
1611,0,805,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,344,344,0,1.0000468,1.590402,-0.01388207054211915,0.6496026491142928,0.05766872745708433,3.157923855699568,,3.157923855699568
1612,0,806,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.009003,1.5999873,-0.241810103126312,0.3624743819236755,-0.010621610567629449,,-0.762416716843093,-0.762416716843093
1613,0,806,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,345,345,0,1.0000033,1.5902528,-0.01684986611666239,0.6493771845620131,0.061140106926679254,3.137600772009921,,3.137600772009921
1614,0,807,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,310,0,310,1.009599,1.5999812,-0.241942028235794,0.3453644183666809,-0.010950984236775853,,-0.7762742562072623,-0.7762742562072623
1615,0,807,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,351,351,0,0.99999946,1.5910851,-0.009292573668062689,0.6452394827753505,0.057787115130948544,3.153248653186606,,3.153248653186606
